Timestep,x,y,z,f_Temp[0],time,laser_x,laser_y
0,0.00102825,-0.014,0.000999993,300.0,0.0,0.005000000000000001,9.184850993605148e-19
100000,0.0050758,-0.00422831,0.0119248,1000.0,1.25e-05,0.005858692835657644,-0.0027470439681453558
200000,0.00735742,-0.00609974,0.0111983,1000.0,2.5e-05,0.007687333483446344,-0.005112290700175006
300000,0.00885323,-0.00505843,0.0103748,1000.0,3.7500000000000003e-05,0.010278676124010004,-0.006767006955743213
400000,0.0107695,-0.00777757,0.0120266,1000.0,5e-05,0.013319470987492229,-0.007481212399530408
500000,0.0107695,-0.00777757,0.0120266,1000.0,6.25e-05,0.016434001296421807,-0.007155643362072703
600000,0.0159652,-0.00807169,0.0115872,1000.0,7.500000000000001e-05,0.019236302170420543,-0.00583554897665941
700000,0.0199606,-0.00718422,0.0114109,1000.0,8.75e-05,0.021383803860994883,-0.0037044022395756695
800000,0.01842,-0.00601429,0.0119188,1000.0,0.0001,0.02262494372450334,-0.001058400060449005
900000,0.019685,-0.0044653,0.0118986,1000.0,0.00011250000000000001,0.022834129594845848,0.0017347035930151628
1000000,0.0219117,0.000841798,0.0119003,1000.0,0.000125,0.022029195180046708,0.004286709890567578
1100000,0.0219228,0.0027975,0.0114818,1000.0,0.0001375,0.020368921448693126,0.006242928859184905
1200000,0.0207931,0.00418415,0.0123768,1000.0,0.00015000000000000001,0.01813096849573085,0.007331475882488227
1300000,0.0157598,0.00678586,0.0109467,1000.0,0.00016250000000000002,0.015673285021868478,0.007401059517858308
1400000,0.0121719,0.00678571,0.0115252,1000.0,0.000175,0.013384358920686196,0.00644200870069944
1500000,0.0125993,0.0048329,0.011463,1000.0,0.0001875,0.011629223383469462,0.0045876168749942395
1600000,0.00984037,0.00103058,0.0106884,1000.0,0.0002,0.010698722850122256,0.0020956162364919447
1700000,0.0092846,-0.00167504,0.0102031,1000.0,0.00021250000000000002,0.010769090065602083,-0.0006876431136763323
1800000,0.0092846,-0.00167504,0.0102031,1000.0,0.00022500000000000002,0.011877452414831926,-0.003375330553354631
1900000,0.0107695,-0.00777757,0.0120266,1000.0,0.00023750000000000003,0.013916671782159301,-0.005593898499063655
2000000,0.0135654,-0.00774674,0.011025,1000.0,0.00025,0.016650235116237304,-0.007034999825810541
2100000,0.0159652,-0.00807169,0.0115872,1000.0,0.00026250000000000004,0.019745126138798363,-0.007498343417073368
2200000,0.0199606,-0.00718422,0.0114109,1000.0,0.000275,0.022818109530891664,-0.006919531576795052
2300000,0.0236289,-0.0068405,0.0102758,1000.0,0.0002875,0.025488994800245343,-0.005379010327468093
2400000,0.0252112,-0.00283155,0.00929096,1000.0,0.00030000000000000003,0.02743347696413508,-0.0030908886393131753
2500000,0.0271444,-0.00280009,0.00980245,1000.0,0.0003125,0.02842820999833448,-0.0003731805472580905
2600000,0.0252429,-0.00117564,0.0123914,1000.0,0.00032500000000000004,0.028381848529834948,0.002396393952167064
2700000,0.027123,-0.00138886,0.0117437,1000.0,0.0003375,0.02734774345124101,0.0048329062224501205
2800000,0.0267312,0.00654575,0.0101139,1000.0,0.00035,0.025516526959969945,0.006597718199787525
2900000,0.0235619,0.00615788,0.0100242,1000.0,0.00036250000000000003,0.02318961758877457,0.00744554792181365
3000000,0.0235619,0.00615788,0.0100242,1000.0,0.000375,0.020737327624461843,0.00725855998133446
3100000,0.0201195,0.00740827,0.0102651,1000.0,0.00038750000000000004,0.018547395345002264,0.006062742851665186
3200000,0.0155668,0.00353392,0.0120165,1000.0,0.0004,0.01697109530950631,0.004024296885003263
3300000,0.0168208,-0.00115068,0.011069,1000.0,0.00041250000000000005,0.016274416549275778,0.0014265349970018343
3400000,0.0139907,-0.00102421,0.0115077,1000.0,0.00042500000000000003,0.016601094147143065,-0.0013694935097335172
3500000,0.0160361,-0.00388184,0.0100341,1000.0,0.0004375,0.017952632252029813,-0.003975183294934791
3600000,0.0199606,-0.00718422,0.0114109,1000.0,0.00045000000000000004,0.020188095025175833,-0.006028383199137172
3700000,0.0199606,-0.00718422,0.0114109,1000.0,0.0004625,0.023043694573325425,-0.007243729734275738
3800000,0.0236289,-0.0068405,0.0102758,1000.0,0.00047500000000000005,0.02616945344475379,-0.007452308258495716
3900000,0.0260732,-0.00924904,0.0120176,1000.0,0.00048750000000000003,0.02917784616006158,-0.006625129536464954
4000000,0.0302999,-0.00749349,0.0111431,1000.0,0.0005,0.03169765934644116,-0.004877158801178377
4100000,0.0324574,-0.00461479,0.0121873,1000.0,0.0005125,0.03342558473778533,-0.00245133733908142
4200000,0.033006,0.0010528,0.010415,1000.0,0.0005250000000000001,0.03416837440009801,0.00031518264539133164
4300000,0.033006,0.0010528,0.010415,1000.0,0.0005375,0.03386969924848231,0.003037897046743636
4400000,0.0352663,0.00437095,0.010318,1000.0,0.00055,0.03261797793127035,0.005338390067768422
4500000,0.0318303,0.00411274,0.0103097,1000.0,0.0005625000000000001,0.03063408798574353,0.0068969282468554
4600000,0.0285274,0.00425997,0.0123625,1000.0,0.000575,0.028240667227468905,0.007496898535194129
4700000,0.0267312,0.00654575,0.0101139,1000.0,0.0005875,0.025817272012169476,0.007054914208547413
4800000,0.0267312,0.00654575,0.0101139,1000.0,0.0006000000000000001,0.023747624688169402,0.0056324043507875714
4900000,0.0235619,0.00615788,0.0100242,1000.0,0.0006125000000000001,0.022366282039373023,0.003427076147652394
5000000,0.0199936,0.00120537,0.0103672,1000.0,0.000625,0.02191213699222716,0.0007454366017413622
5100000,0.0237707,-0.00303501,0.0114901,1000.0,0.0006375,0.022495216140586798,-0.0020398072685069144
5200000,0.0218349,-0.00655377,0.0111122,1000.0,0.0006500000000000001,0.02408138772639544,-0.004541549022897028
5300000,0.0236289,-0.0068405,0.0102758,1000.0,0.0006625,0.02649710543375631,-0.006412084693681263
5400000,0.0269623,-0.00639195,0.0103045,1000.0,0.000675,0.029453528681332563,-0.007391438336738397
5500000,0.0302999,-0.00749349,0.0111431,1000.0,0.0006875000000000001,0.03258666706011781,-0.007343494724778648
5600000,0.0340234,-0.00707053,0.0103283,1000.0,0.0007,0.03550796945168201,-0.00627491728902042
5700000,0.0352527,-0.00814995,0.0114788,1000.0,0.0007125,0.03785832671062834,-0.004334222003827063
5800000,0.0371159,-0.0057246,0.0118278,1000.0,0.0007250000000000001,0.039357982361606286,-0.0017911359302218714
5900000,0.0394391,-0.000406231,0.0101813,1000.0,0.0007375000000000001,0.03984541448482685,0.0010008907339221806
6000000,0.0394391,-0.000406231,0.0101813,1000.0,0.00075,0.03929978480070137,0.0036538088434538204
