id,type,x,y,z,f_Temp[0],timestep,laser_power,scan_speed,layer_thickness,powder_density,Predicted_Temperature
977.0,1.0,0.00102825,-0.014,0.000999993,300.0,10,100,10,0.05,8000,-0.6665906522374004
581.0,1.0,0.00280526,-0.013082,0.000999998,300.0,10,100,10,0.05,8000,-0.6200476996773916
980.0,1.0,0.00536401,-0.0139934,0.000999992,300.0,10,100,10,0.05,8000,-0.6227764101791561
1252.0,1.0,0.00736674,-0.0139974,0.000999998,300.0,10,100,10,0.05,8000,-0.605632142788124
648.0,1.0,0.00943464,-0.014,0.000999991,300.0,10,100,10,0.05,8000,-0.6009104290246093
1049.0,1.0,0.0114351,-0.0139951,0.000999998,300.0,10,100,10,0.05,8000,-0.6009104290246093
585.0,1.0,0.0133901,-0.0135654,0.000999998,300.0,10,100,10,0.05,8000,-0.5989995108993398
453.0,1.0,0.0153494,-0.01397,0.000999997,300.0,10,100,10,0.05,8000,-0.6009104290246093
812.0,1.0,0.0173493,-0.0139997,0.000999993,300.0,10,100,10,0.05,8000,-0.602385812196209
1111.0,1.0,0.0195007,-0.0134438,0.000999984,300.0,10,100,10,0.05,8000,-0.6015674032680938
713.0,1.0,0.021422,-0.014,0.000999994,300.0,10,100,10,0.05,8000,-0.6020350206171601
1065.0,1.0,0.0234048,-0.014,0.00126756,300.0,10,100,10,0.05,8000,-0.60135653407958
82.0,1.0,0.0265155,-0.0139931,0.000999994,300.0,10,100,10,0.05,8000,-0.6014560531885309
383.0,1.0,0.0285156,-0.014,0.000999992,300.0,10,100,10,0.05,8000,-0.6014560531885309
930.0,1.0,0.030521,-0.014,0.000999997,300.0,10,100,10,0.05,8000,-0.6024412012201139
936.0,1.0,0.0322405,-0.014,0.00202133,300.0,10,100,10,0.05,8000,-0.5996181463957722
1185.0,1.0,0.0365621,-0.014,0.000999997,300.0,10,100,10,0.05,8000,-0.6024412012201139
961.0,1.0,0.0387276,-0.014,0.00158109,300.0,10,100,10,0.05,8000,-0.6136437895942874
